8°11'47"S, 115°08'13"E
8°13'14"S, 115°08'41"E
8°10'34"S, 115°07'32"E
8°13'11"S, 115°08'40"E
8°12'09"S, 115°08'20"E
8°11'20"S, 115°07'59"E
8°11'02"S, 115°07'54"E
8°12'45"S, 115°08'44"E
8°11'55"S, 115°08'14"E
8°10'59"S, 115°07'53"E
8°11'43"S, 115°08'10"E
8°11'35"S, 115°08'05"E
8°10'29"S, 115°07'33"E
8°10'21"S, 115°07'58"E
8°11'46"S, 115°08'12"E
8°11'50"S, 115°08'14"E
8°12'28"S, 115°08'14"E
8°10'25"S, 115°07'41"E
8°10'56"S, 115°07'50"E
8°11'10"S, 115°07'56"E
8°12'14"S, 115°08'41"E
8°11'28"S, 115°08'03"E
8°12'43"S, 115°08'46"E
8°12'07"S, 115°08'21"E
8°10'49"S, 115°07'46"E
8°10'45"S, 115°08'06"E
8°11'35"S, 115°08'05"E
8°10'21"S, 115°07'45"E
8°10'43"S, 115°07'40"E
8°11'27"S, 115°08'21"E
8°13'09"S, 115°08'35"E
8°11'16"S, 115°08'20"E
8°12'32"S, 115°08'12"E
8°12'28"S, 115°08'14"E
8°11'42"S, 115°08'09"E
8°10'33"S, 115°08'04"E
8°12'16"S, 115°08'10"E
8°10'27"S, 115°08'02"E
8°12'29"S, 115°08'14"E
8°12'46"S, 115°08'21"E
8°10'53"S, 115°07'49"E
8°12'16"S, 115°08'11"E
8°12'13"S, 115°08'19"E
8°12'32"S, 115°08'12"E
8°11'36"S, 115°08'06"E
8°13'02"S, 115°08'31"E
8°11'20"S, 115°08'00"E
8°10'25"S, 115°08'02"E
8°10'21"S, 115°07'49"E
8°12'04"S, 115°08'19"E
