8°09'44"S, 115°03'56"E
8°12'08"S, 115°04'53"E
8°11'43"S, 115°04'50"E
8°10'03"S, 115°05'00"E
8°10'57"S, 115°04'34"E
8°09'16"S, 115°04'25"E
8°12'20"S, 115°04'56"E
8°09'40"S, 115°04'41"E
8°09'58"S, 115°04'11"E
8°12'49"S, 115°05'15"E
8°12'07"S, 115°04'53"E
8°09'23"S, 115°03'48"E
8°10'32"S, 115°04'32"E
8°10'47"S, 115°05'14"E
8°09'52"S, 115°03'58"E
8°09'23"S, 115°04'28"E
8°10'41"S, 115°04'33"E
8°09'57"S, 115°04'57"E
8°12'10"S, 115°04'53"E
8°09'38"S, 115°04'38"E
8°09'43"S, 115°04'47"E
8°10'31"S, 115°05'11"E
8°10'13"S, 115°05'04"E
8°11'27"S, 115°04'49"E
8°10'24"S, 115°04'22"E
8°10'31"S, 115°05'11"E
8°08'57"S, 115°03'46"E
8°09'21"S, 115°03'46"E
8°10'47"S, 115°04'33"E
8°09'31"S, 115°04'37"E
8°12'53"S, 115°05'24"E
8°10'43"S, 115°04'33"E
8°10'31"S, 115°04'32"E
8°08'56"S, 115°03'59"E
8°09'14"S, 115°03'38"E
8°09'28"S, 115°04'31"E
8°13'00"S, 115°05'31"E
8°09'31"S, 115°04'35"E
8°12'03"S, 115°05'36"E
8°09'10"S, 115°03'36"E
8°08'55"S, 115°03'59"E
8°10'44"S, 115°04'34"E
8°10'04"S, 115°05'00"E
8°10'00"S, 115°04'11"E
8°12'58"S, 115°05'38"E
8°10'33"S, 115°05'10"E
8°12'01"S, 115°05'35"E
8°12'04"S, 115°04'54"E
8°09'37"S, 115°03'50"E
8°09'08"S, 115°04'19"E
